Corporation,corporation_kn,corporation_id,ac,ac_kn,ac_no,Assembly,ward_id,ward_name,ward_name_kn,TOT_P,TOT_M,TOT_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,RO_Code,RO_Division,ARO_Code,ARO_ Sub Division,zone,zone_name,Reservation,parks,toilets,lakes,Top Concern,2nd Concern,3rd Concern
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,70,70 - Iblur,ಇಬ್ಬಲೂರು,27146,14110,13035,3177,1608,1568,437,231,206,1,RO- HSR Layout,22,ARO- Iblur,Zone2,Bommanahalli,Scheduled Caste,7,2,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,71,71 - Agara,ಅಗರ,18836,9742,9095,1264,639,625,288,142,147,1,RO- HSR Layout,21,ARO- HSR Layout,Zone2,Bommanahalli,General (Women),8,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
South,ದಕ್ಷಿಣ,4,Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175,175 - Bommanahalli,72,72 - HSR Layout,ಎಚ್‌ಎಸ್‌ಆರ್ ಲೇಔಟ್,18787,9747,9040,1304,681,623,297,149,148,1,RO- HSR Layout,21,ARO- HSR Layout,Zone2,Bommanahalli,General,12,10,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,1,1 - Nagasandra,ನಾಗಸಂದ್ರ,24974,13670,11304,1743,953,790,817,456,361,2,RO- Hegganahalli,6,ARO- Nagasandra,Zone1,Rajarajeshwarinagar,General,7,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,2,2 - Chokkasandra,ಚೊಕ್ಕಸಂದ್ರ,27117,15167,11949,1593,837,756,699,390,310,2,RO- Hegganahalli,6,ARO- Nagasandra,Zone1,Rajarajeshwarinagar,General (Women),0,2,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,3,3 - Nelagadaranahalli,ನೆಲಗದರನಹಳ್ಳಿ,22738,12798,9940,1501,799,702,799,459,340,2,RO- Hegganahalli,6,ARO- Nagasandra,Zone1,Rajarajeshwarinagar,General (Women),2,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,4,4 - Parvathi Nagar,ಪಾರ್ವತಿ ನಗರ,20312,10983,9330,850,442,407,442,251,191,2,RO- Hegganahalli,7,ARO- Shivapura,Zone1,Rajarajeshwarinagar,General,1,4,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,5,5 - Rajeshwarinagar,ರಾಜೇಶ್ವರಿನಗರ,25418,13734,11684,1712,876,836,636,322,314,2,RO- Hegganahalli,5,ARO- Hegganahalli,Zone1,Rajarajeshwarinagar,General (Women),0,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,6,6 - Shivapura,ಶಿವಪುರ,26408,14281,12117,3647,1945,1702,958,517,441,2,RO- Hegganahalli,7,ARO- Shivapura,Zone1,Rajarajeshwarinagar,Scheduled Caste,0,3,2,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,7,7 - Rajagopala Nagara,ರಾಜಗೋಪಾಲ ನಗರ,24944,13594,11350,1731,911,820,510,262,247,2,RO- Hegganahalli,5,ARO- Hegganahalli,Zone1,Rajarajeshwarinagar,General,0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,8,8 - Hegganahalli,ಹೆಗ್ಗನಹಳ್ಳಿ,28416,15161,13255,2005,1050,955,604,327,278,2,RO- Hegganahalli,5,ARO- Hegganahalli,Zone1,Rajarajeshwarinagar,General (Women),0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,155 - Dasarahalli,9,9 - Srigandhanagar,ಶ್ರೀಗಂಧನಗರ,22361,12116,10245,1142,609,533,534,286,248,2,RO- Hegganahalli,8,ARO- Sunkadakatte,Zone1,Rajarajeshwarinagar,"Backward Class ""A""",0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
